FIELD,YEAR,MONTH,PRODUCTION
A18-FA,2017,AUG,53453.35111489
A18-FA,2017,DEC,64010.245245905
A18-FA,2017,FEB,55454.055432715
A18-FA,2017,JAN,59179.64493755001
A18-FA,2017,JUL,27499.918758210002
A18-FA,2017,JUN,50321.915056015
A18-FA,2017,MAR,69707.65444095
A18-FA,2017,MAY,61671.567260380005
A18-FA,2017,NOV,63639.45844713
A18-FA,2017,OCT,68041.784363785
A18-FA,2017,SEP,46363.068020955005
A18-FA,2018,APR,64722.057581475
A18-FA,2018,AUG,59721.792128925
A18-FA,2018,DEC,57552.864735710005
A18-FA,2018,FEB,61736.00779807
A18-FA,2018,JAN,66481.19480362
A18-FA,2018,JUL,66266.733748865
A18-FA,2018,JUN,62680.87933984499
A18-FA,2018,MAR,66277.276569375
A18-FA,2018,MAY,67903.12422635501
A18-FA,2018,NOV,20563.104698475003
A18-FA,2018,OCT,56300.26077454
A18-FA,2018,SEP,41133.38914844
A18-FA,2019,APR,57968.87046596
A18-FA,2019,AUG,52391.892477145004
A18-FA,2019,DEC,56183.052333635
A18-FA,2019,FEB,55183.63324704001
A18-FA,2019,JAN,65655.368309765
A18-FA,2019,JUL,49752.210320095
A18-FA,2019,JUN,63569.732785290005
A18-FA,2019,MAR,66260.345183625
A18-FA,2019,MAY,66228.55110044
A18-FA,2019,NOV,59918.70361773999
A18-FA,2019,OCT,64146.586680165
A18-FA,2019,SEP,29298.963414804995
A18-FA,2020,APR,58105.835354985
A18-FA,2020,AUG,53580.22363211
A18-FA,2020,DEC,30576.270320530006
A18-FA,2020,FEB,57514.057577604995
A18-FA,2020,JAN,60014.035231375005
A18-FA,2020,JUL,57170.488640744996
A18-FA,2020,JUN,56791.95876587
A18-FA,2020,MAR,60948.42091805
A18-FA,2020,MAY,58483.123594905
A18-FA,2020,NOV,53831.345092945
A18-FA,2020,OCT,49570.73223773
A18-FA,2020,SEP,32549.33270061
A18-FA,2021,APR,44710.472
A18-FA,2021,AUG,39522.378000000004
A18-FA,2021,DEC,0.0
